location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
1400203 Aguilar de la Frontera distrito 03;40,9;19,1;15,7;2,53;24,1;6.036
1400203001 Aguilar de la Frontera sección 03001;41,5;17,4;16,7;2,4;26;1.228
1400203002 Aguilar de la Frontera sección 03002;42,7;18,6;19,6;2,51;25,2;2.067
1400203003 Aguilar de la Frontera sección 03003;40,7;18,3;14,8;2,48;27;1.506
1400203004 Aguilar de la Frontera sección 03004;37,3;22,5;9;2,79;16;1.235
08002 Aguilar de Segarra;42,5;22;18,5;2,96;23,7;287
0800201 Aguilar de Segarra distrito 01;42,5;22;18,5;2,96;23,7;287
0800201001 Aguilar de Segarra sección 01001;42,5;22;18,5;2,96;23,7;287
44005 Aguilar del Alfambra;.;.;.;.;.;.
4400501 Aguilar del Alfambra distrito 01;.;.;.;.;.;.
4400501001 Aguilar del Alfambra sección 01001;.;.;.;.;.;.
26003 Aguilar del Río Alhama;54,6;9,2;36,8;2,02;46,3;459
2600301 Aguilar del Río Alhama distrito 01;54,6;9,2;36,8;2,02;46,3;459
2600301001 Aguilar del Río Alhama sección 01001;54,6;9,2;36,8;2,02;46,3;459
30003 Águilas;40,5;19,9;16,6;2,73;25,8;34.779
3000301 Águilas distrito 01;40,5;19,9;16,6;2,73;25,8;34.779
3000301001 Águilas sección 01001;47,4;13,1;28,2;2,22;38,7;739
3000301002 Águilas sección 01002;46,9;12,7;26,6;2,47;29,5;1.105
3000301003 Águilas sección 01003;43,2;15,8;20,3;2,7;27,7;1.197
3000301004 Águilas sección 01004;43,6;17,5;21,5;2,67;26,8;1.008
3000301005 Águilas sección 01005;37,5;22,4;11,7;3,01;20,6;1.124
3000301006 Águilas sección 01006;44;15,5;20,8;2,59;28,7;749
3000301007 Águilas sección 01007;45,8;15,7;26,3;2,44;34,4;879
3000301008 Águilas sección 01008;43,3;17,1;20,8;2,63;28,8;732
3000301009 Águilas sección 01009;41,7;17,2;16,6;2,46;31,5;1.053
3000301010 Águilas sección 01010;42,1;18,1;19,5;2,87;20,9;977
3000301011 Águilas sección 01011;34,8;27,6;10,3;3,19;14,4;1.041
3000301012 Águilas sección 01012;43;16,3;19,1;2,64;25,3;792
3000301013 Águilas sección 01013;38,5;22;13,9;2,9;21,7;1.284
3000301014 Águilas sección 01014;38,9;21,5;14,4;2,83;23,2;1.512
3000301015 Águilas sección 01015;43,8;17,5;22,8;2,21;39,7;2.002
3000301016 Águilas sección 01016;43;14,4;18,5;3,01;15,3;1.144
3000301017 Águilas sección 01017;33,5;29,1;8,6;3,44;16,7;1.669
3000301018 Águilas sección 01018;36,3;23,2;10;2,97;20,6;1.587
3000301019 Águilas sección 01019;38,2;22,7;11,6;2,69;24,5;1.898
3000301020 Águilas sección 01020;33,4;27,6;5,6;3,25;13,9;1.516
3000301021 Águilas sección 01021;44,6;15,2;22,7;2,67;25;1.089
3000301022 Águilas sección 01022;40,3;21,5;16,6;2,6;29,4;909
3000301023 Águilas sección 01023;39,2;21;15,3;2,94;18,7;785
3000301024 Águilas sección 01024;46,1;13;23,1;2,17;39,7;952
3000301025 Águilas sección 01025;38,8;22,8;17,1;2,97;18,1;1.168
3000301026 Águilas sección 01026;38;23,2;10,9;3,11;15,7;1.273
3000301027 Águilas sección 01027;42,6;16,2;18,3;2,83;25,6;1.017
3000301028 Águilas sección 01028;39,7;20,3;16,1;2,84;26,7;852
3000301029 Águilas sección 01029;39,4;23,9;12,9;2,8;22,4;1.012
3000301030 Águilas sección 01030;41,2;17,9;18;2,4;32,5;1.714
50005 Aguilón;56,5;3,8;40,6;2,28;36,2;239
5000501 Aguilón distrito 01;56,8;3,8;40,6;2,28;36,2;239
5000501001 Aguilón sección 01001;57;3,8;40,6;2,28;36,2;239
35002 Agüimes;39,3;18,8;11,3;2,77;26,1;31.040
3500201 Agüimes distrito 01;39,3;18,8;11,3;2,77;26,1;31.040
3500201001 Agüimes sección 01001;42,6;15,4;15;2,75;27,6;768
3500201002 Agüimes sección 01002;45,2;14,2;19,8;2,71;26,9;697
3500201003 Agüimes sección 01003;40,6;15,8;12;2,91;23,2;1.505
3500201004 Agüimes sección 01004;39,9;18,5;13;2,89;23,9;896
3500201005 Agüimes sección 01005;40,6;17;13,6;3;24,2;1.326
3500201006 Agüimes sección 01006;42,1;15,4;14,4;2,19;39,4;1.820
3500201007 Agüimes sección 01007;41,4;16,3;15,1;3,14;15,4;1.207
3500201008 Agüimes sección 01008;44,3;14,1;19,9;2,64;29,2;1.076
3500201009 Agüimes sección 01009;39,2;19,3;11,8;2,85;24,2;1.522
3500201010 Agüimes sección 01010;39,3;19,6;11,7;2,58;33,1;1.605
3500201011 Agüimes sección 01011;40,8;16,5;14,1;2,75;24,9;1.924
3500201012 Agüimes sección 01012;40,3;17,2;11,3;2,32;38,8;1.444
3500201013 Agüimes sección 01013;37,2;19,3;7,5;3,16;18,2;2.087
3500201014 Agüimes sección 01014;44,3;13,4;20,5;3,1;17,9;953
3500201015 Agüimes sección 01015;38,3;19,1;10,6;3,11;19,1;1.766
3500201016 Agüimes sección 01016;38,2;18,7;8,1;2,49;33,6;1.565
3500201017 Agüimes sección 01017;34,1;25,3;4,6;3,06;17,4;1.931
3500201018 Agüimes sección 01018;40,4;17,1;12,3;2,59;29,1;1.494
3500201019 Agüimes sección 01019;32,4;28,2;2,6;2,99;20,7;1.502
3500201020 Agüimes sección 01020;33,6;29,4;3,2;3,19;10,5;880
3500201021 Agüimes sección 01021;36;23,1;3,8;3,35;12,6;1.034
3500201022 Agüimes sección 01022;41,6;14,6;13,7;2,27;37;828
3500201023 Agüimes sección 01023;40,4;18,6;13,8;2,54;31,1;1.210
17001 Agullana;43,9;18,1;21,8;2,47;31,6;830
1700101 Agullana distrito 01;43,9;18,1;21,8;2,47;31,6;830
1700101001 Agullana sección 01001;43,9;18,1;21,8;2,47;31,6;830
46004 Agullent;42,6;17,2;18,2;2,59;24,2;2.411
4600401 Agullent distrito 01;42,6;17,2;18,2;2,59;24,2;2.411
4600401001 Agullent sección 01001;42,6;17,2;18,2;2,59;24,2;2.411
38002 Agulo;50,4;9,4;30,8;2,36;37,2;1.109
3800201 Agulo distrito 01;50,4;9,4;30,8;2,36;37,2;1.109
3800201001 Agulo sección 01001;50,4;9,4;30,8;2,36;37,2;1.109
01051 Agurain/Salvatierra;40,2;22,1;15,3;2,46;31,9;4.986
0105101 Agurain/Salvatierra distrito 01;40,2;22,1;15,3;2,46;31,9;4.986
0105101001 Agurain/Salvatierra sección 01001;42,5;19,3;16,8;2,48;28,9;1.515
0105101002 Agurain/Salvatierra sección 01002;38,5;23,5;13,6;2,38;35,7;1.931
0105101003 Agurain/Salvatierra sección 01003;40;23;15,8;2,55;29,6;1.540
10006 Ahigal;50,4;10,6;30,8;1,98;39,5;1.372
1000601 Ahigal distrito 01;50,4;10,6;30,8;1,98;39,5;1.372
1000601001 Ahigal sección 01001;50,4;10,6;30,8;1,98;39,5;1.372
37003 Ahigal de los Aceiteros;56,5;6,1;40,9;1,95;44,1;128
3700301 Ahigal de los Aceiteros distrito 01;56,8;6,1;41,6;1,95;44,1;128
3700301001 Ahigal de los Aceiteros sección 01001;57;6,1;43,2;1,95;44,1;128
37004 Ahigal de Villarino;.;.;.;.;.;.
3700401 Ahigal de Villarino distrito 01;.;.;.;.;.;.
3700401001 Ahigal de Villarino sección 01001;.;.;.;.;.;.
06003 Ahillones;50,9;11,7;31,1;2,11;39,3;858
0600301 Ahillones distrito 01;50,9;11,7;31,1;2,11;39,3;858
0600301001 Ahillones sección 01001;50,9;11,7;31,1;2,11;39,3;858
20016 Aia;40,8;21;16,6;2,5;35,3;2.023
2001601 Aia distrito 01;40,8;21;16,6;2,5;35,3;2.023
2001601001 Aia sección 01001;42;18,6;17,3;2,46;34,9;1.107
2001601002 Aia sección 01002;39,4;23,9;15,8;2,56;35,8;916
31009 Aibar/Oibar;49,2;12,5;28,6;2,53;29;795
3100901 Aibar/Oibar distrito 01;49,2;12,5;28,6;2,53;29;795
3100901001 Aibar/Oibar sección 01001;49,2;12,5;28,6;2,53;29;795
46042 Aielo de Malferit;41,3;18,9;16,6;2,74;21,9;4.605
4604201 Aielo de Malferit distrito 01;41,3;18,9;16,6;2,74;21,9;4.605
4604201001 Aielo de Malferit sección 01001;42;18,7;17,7;2,67;23,3;2.057
4604201002 Aielo de Malferit sección 01002;40,8;19;15,8;2,8;20,8;2.548
46043 Aielo de Rugat;50,6;11;30,3;2,38;27,7;155
4604301 Aielo de Rugat distrito 01;50,6;11;30,3;2,38;27,7;155
4604301001 Aielo de Rugat sección 01001;50,6;11;30,3;2,38;27,7;155
08014 Aiguafreda;44,5;16,6;21,9;2,46;26,6;2.490
0801401 Aiguafreda distrito 01;44,5;16,6;21,9;2,46;26,6;2.490
0801401001 Aiguafreda sección 01001;44,5;16,6;21,9;2,46;26,6;2.490
43001 Aiguamúrcia;44,3;16,4;21,9;2,39;35,3;900
4300101 Aiguamúrcia distrito 01;44,3;16,4;21,9;2,39;35,3;900
4300101001 Aiguamúrcia sección 01001;44,3;16,4;21,9;2,39;35,3;900
17002 Aiguaviva;40;23,4;15,8;3,18;14,7;743
1700201 Aiguaviva distrito 01;40;23,4;15,8;3,2;14,7;743
1700201001 Aiguaviva sección 01001;40;23,4;15,8;3,3;14,7;743
03004 Aigües;45;15,3;21,2;2,24;35;962
0300401 Aigües distrito 01;45;15,3;21,2;2,24;35;962
0300401001 Aigües sección 01001;45;15,3;21,2;2,24;35;962
12002 Aín;51,6;5,5;30,7;1,79;47,6;128
1200201 Aín distrito 01;51,6;5,5;30,7;1,79;48,2;128
1200201001 Aín sección 01001;51,6;5,5;30,7;1,79;50,7;128
22907 Aínsa-Sobrarbe;42,8;18,1;17,6;2,56;32;2.168
2290701 Aínsa-Sobrarbe distrito 01;42,8;18,1;17,6;2,56;32;2.168
2290701001 Aínsa-Sobrarbe sección 01001;42,8;18,1;17,6;2,56;32;2.168
50006 Ainzón;46,8;12,7;23,4;2,43;31;1.051
5000601 Ainzón distrito 01;46,8;12,7;23,4;2,43;31;1.051
5000601001 Ainzón sección 01001;46,8;12,7;23,4;2,43;31;1.051
22006 Aisa;48,1;11,9;24,8;2,42;39,4;319
2200601 Aisa distrito 01;48,1;11,9;24,8;2,42;39,4;319
2200601001 Aisa sección 01001;48,1;11,9;24,8;2,42;39,4;319
25038 Aitona;42,4;18,8;20;2,9;22,4;2.430
2503801 Aitona distrito 01;42,4;18,8;20;2,9;22,4;2.430
2503801001 Aitona sección 01001;44,4;15,6;21,4;2,81;26,2;1.115
2503801002 Aitona sección 01002;40,8;21,4;18,7;2,98;19;1.315
20003 Aizarnazabal;39,9;24;16,5;2,63;26,6;772
2000301 Aizarnazabal distrito 01;39,9;24;16,5;2,63;26,6;772
2000301001 Aizarnazabal sección 01001;39,9;24;16,5;2,63;26,6;772
28002 Ajalvir;38;22;10,3;2,82;22,6;4.321
2800201 Ajalvir distrito 01;38;22;10,3;2,82;22,6;4.321
2800201001 Ajalvir sección 01001;38,9;20,4;11,2;2,81;22,6;1.900
2800201002 Ajalvir sección 01002;37,2;23,2;9,6;2,83;22,6;2.421
26004 Ajamil de Cameros;.;.;.;.;.;.
2600401 Ajamil de Cameros distrito 01;.;.;.;.;.;.
2600401001 Ajamil de Cameros sección 01001;.;.;.;.;.;.
48911 Ajangiz;44,5;17,4;19,9;2,84;20,8;477
4891101 Ajangiz distrito 01;44,5;17,4;19,9;2,84;20,8;477
4891101001 Ajangiz sección 01001;44,5;17,4;19,9;2,84;20,8;477
45001 Ajofrín;43,8;17,9;21,5;2,62;23,4;2.228
4500101 Ajofrín distrito 01;43,8;17,9;21,5;2,62;23,4;2.228
4500101001 Ajofrín sección 01001;43,2;18,7;20,6;2,72;20;1.397
4500101002 Ajofrín sección 01002;44,7;16,5;22,9;2,47;28,6;831
44006 Alacón;56,5;5,2;40,9;2,02;41,6;252
4400601 Alacón distrito 01;56,8;5,2;41,6;2,02;41,6;252
4400601001 Alacón sección 01001;57;5,2;43,2;2,02;41,6;252
50007 Aladrén;.;.;.;.;.;.
5000701 Aladrén distrito 01;.;.;.;.;.;.
5000701001 Aladrén sección 01001;.;.;.;.;.;.
47004 Alaejos;50,7;9,8;29,7;2,29;36,6;1.359
4700401 Alaejos distrito 01;50,7;9,8;29,7;2,29;36,6;1.359
4700401001 Alaejos sección 01001;49,2;9,3;27,2;2,36;36;728
4700401002 Alaejos sección 01002;52,3;10,3;32,7;2,21;37,2;631
50008 Alagón;41,7;18,9;16,7;2,59;24,4;6.926
5000801 Alagón distrito 01;41,7;18,9;16,7;2,59;24,4;6.926
5000801001 Alagón sección 01001;41,6;18,3;15,9;2,57;21,1;1.035
5000801002 Alagón sección 01002;42,9;17,1;18,6;2,51;27;1.800
5000801003 Alagón sección 01003;42,3;18,2;17,9;2,53;27;2.352
5000801004 Alagón sección 01004;39,8;22,1;13,6;2,79;19,9;1.739
10903 Alagón del Río;45,4;14,8;22,2;2,54;23,5;940
1090301 Alagón del Río distrito 01;45,4;14,8;22,2;2,54;23,5;940
1090301001 Alagón del Río sección 01001;45,4;14,8;22,2;2,54;23,5;940
07002 Alaior;41,7;18,2;16,9;2,51;30,5;9.013
0700201 Alaior distrito 01;42,7;17,2;18,2;2,51;29,4;3.637
0700201001 Alaior sección 01001;42,6;17,5;18,6;2,62;26;1.873
0700201002 Alaior sección 01002;42,7;17;17,7;2,4;32,7;1.764
0700202 Alaior distrito 02;41,1;18,9;16;2,51;31,2;5.376
0700202001 Alaior sección 02001;41,1;19;17,7;2,57;30,7;1.893
0700202002 Alaior sección 02002;40,8;20,2;16,4;2,58;28,3;1.840
0700202003 Alaior sección 02003;41,5;17,3;13,6;2,36;34,7;1.643
21001 Alájar;44,1;14,7;19;2,24;37,3;757
2100101 Alájar distrito 01;44,1;14,7;19;2,24;37,3;757
2100101001 Alájar sección 01001;44,1;14,7;19;2,24;37,3;757
38003 Alajeró;44,7;13,5;19,9;2,26;41,8;1.951
3800301 Alajeró distrito 01;44,7;13,5;19,9;2,26;41,8;1.951
3800301001 Alajeró sección 01001;44,7;13,5;19,9;2,26;41,8;1.951
29001 Alameda;41,1;18,3;15,8;2,66;23;5.311
2900101 Alameda distrito 01;41,1;18,3;15,8;2,66;23;5.311
2900101001 Alameda sección 01001;40,3;17,5;13,7;2,64;24,8;1.846
2900101002 Alameda sección 01002;42,8;18,5;20,3;2,54;25;1.149
2900101003 Alameda sección 01003;43,1;17,2;19,3;2,55;24,5;1.147
2900101004 Alameda sección 01004;38,7;20,4;11,2;2,96;15,7;1.169
37005 Alameda de Gardón, La;.;.;.;.;.;.
3700501 Alameda de Gardón, La distrito 01;.;.;.;.;.;.
3700501001 Alameda de Gardón, La sección 01001;.;.;.;.;.;.
45002 Alameda de la Sagra;40,4;20,4;16,6;2,74;23,5;3.632
4500201 Alameda de la Sagra distrito 01;40,4;20,4;16,6;2,74;23,5;3.632
4500201001 Alameda de la Sagra sección 01001;42,5;17,5;18,9;2,61;26,1;1.631
4500201002 Alameda de la Sagra sección 01002;38,8;22,8;14,6;2,85;21,1;2.001
28003 Alameda del Valle;50,2;11,9;25,9;1,84;47,6;201
2800301 Alameda del Valle distrito 01;50,2;11,9;25,9;1,84;48,2;201
2800301001 Alameda del Valle sección 01001;50,2;11,9;25,9;1,84;50,7;201
18002 Alamedilla;49,7;9,1;26,7;2,06;35,3;574
1800201 Alamedilla distrito 01;49,7;9,1;26,7;2,06;35,3;574
1800201001 Alamedilla sección 01001;49,7;9,1;26,7;2,06;35,3;574
37006 Alamedilla, La;56,5;4;40,9;1,88;47,6;128
3700601 Alamedilla, La distrito 01;56,8;4;41,6;1,88;48,2;128
3700601001 Alamedilla, La sección 01001;57;4;42,1;1,88;50,7;128
13003 Alamillo;54,9;7;39,3;2,01;43;486
1300301 Alamillo distrito 01;54,9;7;39,3;2,01;43;486
1300301001 Alamillo sección 01001;54,9;7;39,3;2,01;43;486
19004 Alaminos;.;.;.;.;.;.
1900401 Alaminos distrito 01;.;.;.;.;.;.
1900401001 Alaminos sección 01001;.;.;.;.;.;.
28004 Álamo, El;39,3;22,2;14,2;2,87;21,4;9.022
2800401 Álamo, El distrito 01;39,3;22,2;14,2;2,87;21,4;9.022
2800401001 Álamo, El sección 01001;39,9;21,1;15,1;2,81;21,8;2.529
2800401002 Álamo, El sección 01002;40;20,7;15;2,81;23,4;3.097
2800401003 Álamo, El sección 01003;36,9;26,3;12,3;2,96;20,4;1.992
2800401004 Álamo, El sección 01004;39,9;21,4;13,2;2,97;17,2;1.404
25004 Alamús, Els;43,8;16,7;21,6;2,75;25;791
2500401 Alamús, Els distrito 01;43,8;16,7;21,6;2,75;25;791
2500401001 Alamús, Els sección 01001;43,8;16,7;21,6;2,75;25;791
06004 Alange;44,5;15,6;21,9;2,39;28,6;1.849
0600401 Alange distrito 01;44,5;15,6;21,9;2,39;28,6;1.849
0600401001 Alange sección 01001;42,2;16,5;17,1;2,51;25,8;915
0600401002 Alange sección 01002;46,8;14,7;26,7;2,28;31,1;934
41002 Alanís;44,5;15,7;20,6;2,35;30,9;1.715
4100201 Alanís distrito 01;44,5;15,7;20,6;2,35;30,9;1.715
4100201001 Alanís sección 01001;46,2;13,4;21,5;2,27;33,2;841
4100201002 Alanís sección 01002;42,9;18;19,7;2,43;28,4;874
46005 Alaquàs;42,1;18,7;18,2;2,53;25,8;29.426
4600501 Alaquàs distrito 01;44,8;15,6;22,6;2,44;29,1;10.445
4600501001 Alaquàs sección 01001;45,2;15,1;21,3;2,41;31,4;1.175
4600501002 Alaquàs sección 01002;44,4;17,4;21,3;2,5;29,2;1.072
4600501003 Alaquàs sección 01003;43,9;17,9;25,8;2,48;29,2;1.343
4600501004 Alaquàs sección 01004;42,6;19,6;20,7;2,55;26,8;1.104
4600501005 Alaquàs sección 01005;45,7;16,6;26,2;2,4;30,4;1.152
4600501006 Alaquàs sección 01006;45,6;13,4;23,2;2,37;27,2;1.240
4600501007 Alaquàs sección 01007;51;8,9;32,6;2,11;37,1;711
4600501008 Alaquàs sección 01008;48,1;12;26,3;2,12;39,9;727
4600501010 Alaquàs sección 01010;42;15,9;15,2;2,74;20;1.921
4600502 Alaquàs distrito 02;39,3;21,2;13,5;2,6;23,8;11.771
4600502001 Alaquàs sección 02001;37,1;19,6;10,5;2,32;34,2;2.144
4600502002 Alaquàs sección 02002;41,9;18,3;16,1;2,68;22,9;1.741
4600502003 Alaquàs sección 02003;38,6;23,7;14;2,78;15,5;1.394
4600502004 Alaquàs sección 02004;35,3;29,6;7;2,91;17,8;2.517
4600502005 Alaquàs sección 02005;42,6;17,4;19,5;2,78;17,8;1.653
4600502006 Alaquàs sección 02006;45,3;15,7;23,8;2,56;22,5;1.013
4600502007 Alaquàs sección 02007;38,9;18,3;11,2;2,21;31,2;1.309
4600503 Alaquàs distrito 03;42,7;19;19,4;2,55;24,2;7.210
4600503001 Alaquàs sección 03001;43,6;15,8;16,8;2,55;23,9;1.024
4600503002 Alaquàs sección 03002;43,6;17,3;22,3;2,4;28,4;1.258
4600503003 Alaquàs sección 03003;42,7;20,7;21,5;2,62;21,9;1.162
4600503004 Alaquàs sección 03004;45,7;15,9;25,4;2,45;25,5;1.691
4600503005 Alaquàs sección 03005;39,2;23,4;13;2,69;21,7;2.075
34005 Alar del Rey;52;10,8;32,3;2,07;44,7;932
3400501 Alar del Rey distrito 01;52;10,8;32,3;2,07;44,7;932
3400501001 Alar del Rey sección 01001;52;10,8;32,3;2,07;44,7;932
37007 Alaraz;54,3;8,9;39;2,09;42,6;436
3700701 Alaraz distrito 01;54,3;8,9;39;2,09;42,6;436
3700701001 Alaraz sección 01001;54,3;8,9;39;2,09;42,6;436
50009 Alarba;53,6;6,5;37,9;2,58;27,1;128
5000901 Alarba distrito 01;53,6;6,5;37,9;2,58;27,1;128
5000901001 Alarba sección 01001;53,6;6,5;37,9;2,58;27,1;128
16003 Alarcón;51,5;9,3;30,7;2,21;38,2;150
1600301 Alarcón distrito 01;51,5;9,3;30,7;2,21;38,2;150
1600301001 Alarcón sección 01001;51,5;9,3;30,7;2,21;38,2;150
19005 Alarilla;52,2;6,2;29,5;2,15;47,6;129
1900501 Alarilla distrito 01;52,2;6,2;29,5;2,15;48,2;129
1900501001 Alarilla sección 01001;52,2;6,2;29,5;2,15;48,3;129
07001 Alaró;40,7;20,5;15,5;2,72;25,8;5.555
0700101 Alaró distrito 01;40,6;20,5;15,1;2,73;25,1;4.647
0700101001 Alaró sección 01001;40,6;20,6;16,3;2,74;24,9;2.740
0700101002 Alaró sección 01002;40,7;20,4;13,5;2,71;25,5;1.907
0700102 Alaró distrito 02;41,2;20,8;17,1;2,67;29,4;908
0700102001 Alaró sección 02001;41,2;20,8;17,1;2,67;29,4;908
25005 Alàs i Cerc;48,4;13,7;30,5;2,29;40,6;328
2500501 Alàs i Cerc distrito 01;48,4;13,7;30,5;2,29;40,6;328
2500501001 Alàs i Cerc sección 01001;48,4;13,7;30,5;2,29;40,6;328
02002 Alatoz;52;10,3;36;2,17;39,5;517
0200201 Alatoz distrito 01;52;10,3;36;2,17;39,5;517
0200201001 Alatoz sección 01001;52;10,3;36;2,17;39,5;517
44007 Alba;56,5;5,3;40,2;1,88;45,6;169
4400701 Alba distrito 01;56,8;5,3;40,2;1,88;45,6;169
4400701001 Alba sección 01001;57;5,3;40,2;1,88;45,6;169
34006 Alba de Cerrato;.;.;.;.;.;.
3400601 Alba de Cerrato distrito 01;.;.;.;.;.;.
3400601001 Alba de Cerrato sección 01001;.;.;.;.;.;.
37008 Alba de Tormes;43,5;16,9;19,2;2,46;27,9;5.112
3700801 Alba de Tormes distrito 01;43,5;16,9;19,2;2,46;27,9;5.112
3700801001 Alba de Tormes sección 01001;44,7;16,2;20,5;2,36;31,4;1.467
3700801002 Alba de Tormes sección 01002;45,5;14,1;21,8;2,43;26,8;1.586
3700801003 Alba de Tormes sección 01003;41,2;19,5;16,4;2,55;26,1;2.059
37009 Alba de Yeltes;56,5;3,9;40,9;1,95;47,2;207
3700901 Alba de Yeltes distrito 01;56,8;3,9;41,6;1,95;47,2;207
3700901001 Alba de Yeltes sección 01001;57;3,9;43,2;1,95;47,2;207
02003 Albacete;41,2;18,9;16,4;2,64;26,4;171.429
0200301 Albacete distrito 01;42,3;17,5;17,9;2,54;28,6;25.165
0200301001 Albacete sección 01001;43,9;15,9;20,6;2,46;33,2;850
0200301002 Albacete sección 01002;44,6;13;18,2;2,49;27,3;1.272
0200301003 Albacete sección 01003;44,1;16,1;19,4;2,52;32,1;2.145
0200301004 Albacete sección 01004;45,6;15,6;23,2;2,34;36,3;1.104
0200301005 Albacete sección 01005;43,5;16,1;19,1;2,33;35,8;1.438
0200301006 Albacete sección 01006;39,1;20;11;2,54;30,8;1.902
0200301007 Albacete sección 01007;49,3;11,9;31,3;2,49;25,5;1.241
0200301008 Albacete sección 01008;48,2;11,5;27,4;2,33;31,9;966
0200301009 Albacete sección 01009;46,7;14,9;26,6;2,46;31,8;1.145
0200301010 Albacete sección 01010;31,9;26,9;4;2,53;30,1;2.548
0200301011 Albacete sección 01011;38,2;21,3;11,9;2,58;28,3;2.473
0200301012 Albacete sección 01012;49,5;10,1;30,1;2,48;23,8;1.124
0200301013 Albacete sección 01013;49,6;10,5;33,1;2,8;20,2;889
0200301014 Albacete sección 01014;42,2;18,4;17,2;2,58;27,5;1.755
0200301015 Albacete sección 01015;43;15,1;16,5;2,73;23;1.281
0200301016 Albacete sección 01016;50,6;10,9;34,8;2,49;23,6;580
0200301017 Albacete sección 01017;37,8;22,6;10,1;2,81;20,5;2.452
0200302 Albacete distrito 02;39,9;19,9;13,6;2,68;24,1;39.387
0200302001 Albacete sección 02001;43,8;16,8;20,2;2,56;28,2;1.770
0200302002 Albacete sección 02002;46,1;13;22,3;2,47;30,9;1.665
0200302003 Albacete sección 02003;45,9;14,2;21,7;2,64;23,5;1.182
0200302004 Albacete sección 02004;44,3;14;19,7;2,61;24,7;1.382
0200302005 Albacete sección 02005;43,2;16,8;18,9;2,55;27,7;1.819
0200302006 Albacete sección 02006;43,8;14,8;18,7;2,6;22,7;1.362
0200302007 Albacete sección 02007;43,1;15,7;17,7;2,57;28,7;1.674
0200302008 Albacete sección 02008;37,1;24,4;9;2,8;23,6;1.638
0200302009 Albacete sección 02009;29,5;34,1;2,2;2,86;21,7;2.451
0200302010 Albacete sección 02010;44,7;13,1;21,4;2,55;25,6;1.918
0200302011 Albacete sección 02011;43,2;16,5;18,9;2,58;27,9;1.043
0200302012 Albacete sección 02012;41,8;15,9;13,3;2,72;21,6;1.927
0200302013 Albacete sección 02013;43,2;16,4;16,8;2,58;25,5;952
0200302014 Albacete sección 02014;42,6;14,6;15,1;2,67;22,7;1.960
0200302015 Albacete sección 02015;42,3;14,8;15,2;2,66;23,4;1.491
0200302016 Albacete sección 02016;43,8;13,7;18,1;2,66;22,4;2.051
0200302017 Albacete sección 02017;43,5;15,6;19,4;2,68;23,3;1.337
0200302018 Albacete sección 02018;40,8;17,9;12,9;2,63;24;1.731
0200302019 Albacete sección 02019;38,8;21,1;10,7;2,91;17,9;1.380
0200302020 Albacete sección 02020;34,9;27,3;6,2;2,96;18,6;1.737
0200302021 Albacete sección 02021;36,6;24,1;8,1;2,75;21;1.393
0200302022 Albacete sección 02022;32,7;31,8;3,7;3,07;15,6;1.340
0200302023 Albacete sección 02023;35,2;26,9;8,4;2,86;20,4;1.737
0200302024 Albacete sección 02024;29;31,6;1,9;2,53;29,6;2.447
0200303 Albacete distrito 03;42,1;17,7;17,9;2,62;25,8;20.434
0200303001 Albacete sección 03001;45,2;16,4;23,3;2,46;31,3;763
0200303002 Albacete sección 03002;45,4;13,6;22;2,52;28;1.388
0200303003 Albacete sección 03003;44,3;15,1;20;2,48;29;2.035
0200303004 Albacete sección 03004;43,1;16,6;20;2,57;26,8;2.077
0200303005 Albacete sección 03005;44,8;15;22,1;2,56;28,5;1.795
0200303006 Albacete sección 03006;39,9;19,4;13;2,71;23,8;1.414
0200303007 Albacete sección 03007;39,4;19,3;14;2,74;22,9;1.786
0200303008 Albacete sección 03008;38,3;22,3;11,6;2,72;23,7;1.752
0200303009 Albacete sección 03009;42,8;16,1;20,4;2,67;25,2;1.258
0200303010 Albacete sección 03010;47,1;14,8;26,5;2,34;35,8;750
0200303011 Albacete sección 03011;46,8;13,1;26,1;2,6;23,2;1.133
0200303012 Albacete sección 03012;40,1;19,3;15,1;2,6;26,3;1.963
0200303013 Albacete sección 03013;36,8;23,1;11,1;2,82;18,8;1.172
0200303014 Albacete sección 03014;38,6;23;13;3,01;18,1;1.148
0200304 Albacete distrito 04;40,8;19,4;16;2,67;25,3;19.709
0200304001 Albacete sección 04001;44,6;13,3;21,8;2,55;30,7;1.328
0200304002 Albacete sección 04002;43,1;16;19,2;2,57;27,1;1.805
0200304003 Albacete sección 04003;46,4;14,5;25;2,5;27,8;793
0200304004 Albacete sección 04004;44,7;15,5;23,3;2,61;26,4;1.410
0200304005 Albacete sección 04005;40,8;19,4;15,1;2,58;29,2;1.598
0200304006 Albacete sección 04006;41,6;14,9;15,5;2,39;37,1;948
0200304007 Albacete sección 04007;34;30;6;3,11;17,6;1.379
0200304008 Albacete sección 04008;47,4;10,7;26,1;2,62;22,2;1.381
0200304009 Albacete sección 04009;46,4;11,8;25,7;2,55;25;1.224
0200304010 Albacete sección 04010;45,4;13,2;21,3;2,33;31,2;1.048
0200304011 Albacete sección 04011;34,7;28,5;8,1;2,85;21,9;1.578
0200304012 Albacete sección 04012;36;23,7;10,6;2,85;22,1;1.517
